"region","submission","activity","path","type","pollutant","fuel","product","species","unit","scenario","confidential","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"DE","DE_NEXT","TRACTION_RAIL_DIESEL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_DIESEL","EF","SO2","DIESEL",,,"kg","REF","FALSE",195.67613,60.88280,60.88280,60.52141,60.52141,60.52141,50.43451,20.17380,20.17380,20.17380,14.12166,14.12166,1.61390,0.32278,0.32278,0.32278,0.32278,0.32278,0.32278,0.32278,0.32278,0.32278,0.32278,0.32278,0.32513,0.32479,0.32514,0.32514,0.32514,0.32514,0.32514
"DE","DE_NEXT","TRACTION_RAIL_DIESEL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_DIESEL","EF","NOx","DIESEL",,,"kg","REF","FALSE",1169.65720,1132.26222,1155.78097,1172.60429,1181.01645,1206.91963,1217.90664,1220.52423,1220.73907,1216.06332,1225.40973,1195.32234,1166.37736,1163.09294,1153.78400,1110.69976,1057.65731,1028.49247,1009.67146,991.16035,970.24717,988.89947,919.02519,899.36655,886.52534,825.80055,801.45431,775.28523,746.52901,699.33438,736.59004
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","NH3","HARDCOAL",,,"kg","REF","FALSE",4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","NMVOC","HARDCOAL",,,"kg","REF","FALSE",15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000,15.00000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","CO2","HARDCOAL",,,"kg","REF","FALSE",93072.44391,93147.90494,93156.58425,93158.84701,93246.18845,93119.50000,93246.80000,93352.30000,93415.70000,93414.80000,93469.50000,93763.40000,93836.58000,93855.49000,93883.46000,93874.13000,93940.03000,93792.16000,94317.26000,94121.03000,94032.43000,94227.72000,93674.57832,93363.09809,93559.98549,93510.28000,93562.21000,93369.09000,93099.62000,93674.61000,93572.11000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","CO","HARDCOAL",,,"kg","REF","FALSE",500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000,500.00000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","N2O","HARDCOAL",,,"kg","REF","FALSE",1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000,1.50000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","CH4","HARDCOAL",,,"kg","REF","FALSE",2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000,2.00000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","SO2","HARDCOAL",,,"kg","REF","FALSE",650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000,650.00000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","TSP","HARDCOAL",,,"kg","REF","FALSE",278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000,278.00000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL","EF","NOx","HARDCOAL",,,"kg","REF","FALSE",120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000,120.00000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL_COKE","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL_COKE","EF","NH3","HARDCOAL_COKE",,,"kg","REF","FALSE",4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000,4.00000
"DE","DE_NEXT","TRACTION_RAIL_HARDCOAL_COKE","SECTORAL_APPROACH,1A,1A3,1A3c,TRACTION_RAIL,TRACTION_RAIL_HARDCOAL_COKE","EF","NMVOC","HARDCOAL_COKE",,,"kg","REF","FALSE",0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000,0.50000
