"region","submission","activity","path","type","pollutant","fuel","product","species","unit","scenario","confidential","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO4_NON_URBAN","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO4,TRACTION_ROAD_LDV_DIESEL_EURO4_NON_URBAN","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,0.39133,4.43796,89.72570,1013.36986,3804.12885,8226.45901,11899.26176,14654.61058,17179.19662,17362.14623,17020.47085,15802.40018,14309.53939,12482.86119,10808.65593,8767.65801,7316.10692,5993.41672
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO4_URBAN","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO4,TRACTION_ROAD_LDV_DIESEL_EURO4_URBAN","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,0.72460,7.94260,161.50809,1695.23889,5939.33344,11785.89964,15304.45802,17355.01173,18310.79860,17525.99059,15938.61437,15484.67011,14431.47601,14021.66454,13577.36284,12161.91997,10876.35740,8952.41424
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO5_HIGHWAY","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO5,TRACTION_ROAD_LDV_DIESEL_EURO5_HIGHWAY","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,,,,,,0.02907,21.67067,537.56975,2259.66163,5327.88044,10186.71569,15535.09916,20425.82079,23861.06510,23485.05174,19732.71409,17023.43377,13492.71298
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO5_NON_URBAN","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO5,TRACTION_ROAD_LDV_DIESEL_EURO5_NON_URBAN","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,,,,,,0.01759,16.84158,436.96042,1880.66068,4649.17421,9106.31877,14115.86338,18754.76809,21456.75458,20925.79590,17420.43904,14889.99025,12501.86254
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO5_URBAN","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO5,TRACTION_ROAD_LDV_DIESEL_EURO5_URBAN","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,,,,,,0.01485,22.52833,538.04767,2084.22036,4878.32242,8858.91196,14372.54013,19658.20140,25055.49367,27333.87754,25134.00355,23028.11230,19426.82937
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO6ab_HIGHWAY","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO6ab,TRACTION_ROAD_LDV_DIESEL_EURO6ab_HIGHWAY","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,,,,,,,,0.01598,0.03051,0.27313,14.17106,66.76025,212.95784,1616.05767,6216.16921,11960.76665,16507.18844,16098.05498
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO6ab_NON_URBAN","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO6ab,TRACTION_ROAD_LDV_DIESEL_EURO6ab_NON_URBAN","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,,,,,,,,0.01280,0.02504,0.23513,12.49574,59.82129,192.30358,1427.87065,5445.44897,10385.80739,14205.21358,14676.87661
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO6ab_URBAN","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO6ab,TRACTION_ROAD_LDV_DIESEL_EURO6ab_URBAN","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,,,,,,,,0.01533,0.02698,0.23985,11.81789,59.22999,196.01060,1621.24875,6916.55995,14571.39604,21364.38306,22180.38410
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO6c_HIGHWAY","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO6c,TRACTION_ROAD_LDV_DIESEL_EURO6c_HIGHWAY","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03006,0.40685,248.40430,673.22442
"DE","DE_NEXT","TRACTION_ROAD_LDV_DIESEL_EURO6c_NON_URBAN","SECTORAL_APPROACH,1A,1A3,1A3b,1A3bi,TRACTION_ROAD_LDV_DIESEL,TRACTION_ROAD_LDV_DIESEL_EURO6c,TRACTION_ROAD_LDV_DIESEL_EURO6c_NON_URBAN","AD",,"DIESEL",,,"TJ","REF","FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02643,0.35235,214.36543,615.46525
